Result,Moves
1.0,c2c3 b5b4 b1a3 b6b5 a3b5 d6b5 a2a3 b4c3 d2c3 b5d6 a3a4 d6e4 b2b3 a6b6 c3c4 d5d4 e2e3 b6a6 c1a3 a6b6 d1c2 e6d6 a1d1 d4e3 d1d6 e4d6 c2b2 d6e4 b2e5 e3e2 e1e2 b6a6 e2d3 a6b6 e5e6 e4d6 e6d6 b6a6 d6c6 a6b6 c6b6
0.0,b1c3 a5a4 d2d3 a6a5 c3b1 e5e4 e2e3 d5d4 d1d2 b5b4 a2a3 e4d3 d2d3 c5c4 a3b4 b6b4 c2c3 c4d3 c3b4 a5b4 a1a3 c6b5 e1d1 d4e3 b1c3 d3d2 c1d2 e3d2 c3b5 d6c4 a3a4 b4a4 b2b3 a4b3 b5d4 b3c3 d4e6 c4e3 d1e2 d2d1 e2e3 d1e1 e6c5 c3b4 e3d4 e1c3 d4d5 c3c5 d5e6 b4c3 e6d6 c5d6
1.0,b2b3 e5e4 b3b4 e4e3 d2e3 a5b4 b1d2 e6e3 d2b3 d6c4 a2a3 b4a3 c1a3 b5b4 a3b4 a6b5 b4c3 e3c3 d1b1 c4a3 a1a3 c5c4 b3d4 b5c5 d4e6 c5d6 b1b6 c3a3 e6d4 a3a1 e1d2 c4c3 d2e3 a1a6 b6a6 d6c5 a6c6 c5b4 c6b5 b4a3 b5b3 a3a4 d4c6 d5d4 c6a5 a4a5 e3d4 a5a6 b3b4 a6b6 b4b6
1.0,a2a3 e5e4 d2d3 e6e5 d3e4 a5a4 b2b3 e5e4 c2c3 c5c4 b3b4 d5d4 c3d4 e4d4 d1c2 c6e4 c2c3 e4c6 c1e3 d4d3 c3d3 c4d3 e3b6 d3d2 b1d2 a6b6 a1c1 c6d5 e2e3 d6e4 d2e4 d5e4 c1c5 e4b1 e1d2 b1a2 e3e4 a2e6 e4e5 e6b3 c5c3 b3d5 c3d3 b6c6 d3d4 c6b6 d4d5 b6a6 e5e6 a6b6 e6b6
1.0,e2e3 d6e4 e1e2 b5b4 d2d3 b6b5 a2a3 a5a4 e2e1 e4d6 b2b3 d5d4 a3b4 b5b4 c1d2 b4b6 e3e4 c5c4 b3c4 b6b2 b1a3 d6e4 d3e4 d4d3 a3b5 c6b5 c2d3 b2d4 a1a4 a6b6 d1b3 d4c5 c4b5 c5d4 b3e6 d4d6 e6d6 b6b5 a4a6 b5a6 d6a6
0.5,b1a3 b5b4 d2d3 b6b5 a3b5 d6b5 a2a3 b4a3 a1a3 b5a3 b2a3 c6a4 e2e3 e6b6 e3e4 d5d4 d1d2 b6b1 c2c3 a6b6 c3c4 a4b3 e1e2 a5a4 e2e1 b6a6 e1e2 a6b6 e2e1 b6a6 e1e2 a6b6 c1b2 b1d1 d2d1 b3d1 e2d1 b6a6 b2c1 a6a5 c1b2 a5b6 b2c1 b6a6 c1d2 a6b6 d2c1 b6a6 c1b2 a6b6 d1e1 b6a6 b2c1 a6b6 c1d2 b6a6 e1d1 a6b6 d2b4 b6c6 b4a5 c6d6 d1c2 d6e6 a5b6 e6d6 b6a5 d6e6 a5b6 e6d6 c2b2 d6c6 b6a5 c6d6 b2a2 d6c6 a2b2 c6d6 b2a2 d6c6 a5b4 c6b6 b4e1 b6a6 e1d2 a6b6 d2b4 b6c6 b4a5 c6d6 a2b2 d6c6 b2c2 c6d6 c2b2 d6c6 b2c2 c6d6 a5b4 d6c6
1.0,d2d3 d5d4 e1d2 a5a4 c2c3 b5b4 c3c4 b6a5 e2e3 e5e4 b2b3 e4d3 e3d4 c5d4 c1b2 a5c5 d2c1 d6c4 d1d3 e6e1 c1c2 c6e4 b3c4 e4d3 c2d3 c5e5 c4c5 e5e2 d3d4 e2e4 d4e4 a6b6 c5b6 a4a3 e4d5 a3b2 b6d4 b2a1 d4a1 b4b3 a2b3 a6 a1b2 a6 b1c3 a6 b3b4 a6 b4b5 a6 b5b6 a6 b2a3 a6 a3b2 a6 b2a3 a6 a3b2 a6 b2a3 a6 d5d4 a6 a3b2 a6 b2a3 a6 a3b2 a6 b2a3 a6 a3b2 a6 b2b1 a6 b1e1
0.0,b1c3 c5c4 a1b1 b6c5 a2a3 d5d4 c3a2 b5b4 e2e3 c6b5 a3b4 a5b4 b2b3 c4c3 d2c3 b4c3 b3b4 c5c4 b1b3 a6b6 b3a3 d6e4 a3a5 e4c5 a5b5 b6b5 a2c3 d4c3 b4c5 e6c6 c1a3 c6c5 d1b1 b5c6 b1b4 c4b4 a3b4 c5c4 b4c3 c4c3 e1d2 c3a3 d2e2 c6b5 e2d2 e5e4 d2c1 b5c4 c1b2 c4b4 b2c1 b4c3 c1b1 a3a6 b1c1 a6a1 c1b2 c3b2 c2c3 b2c3
1.0,d2d3 d6e4 b1c3 a5a4 d3e4 d5d4 c3d5 b6a5 c1d2 b5b4 a2a3 c6d5 e4d5 e6d6 b2b3 a6b6 a3b4 c5b4 a1a4 d6d5 a4a5 d5a5 d2b4 a5b5 c2c3 b5b4 c3b4 b6b5 d1c2 b5b4 c2c4 b4a3 b3b4 e5e4 b4b5 d4d3 b5b6 d3d2 e1d2 e4e3 d2e3 a3a4 b6a6 a4a5 a6a5
0.0,b2b3 d6c4 c1a3 c4a3 b1a3 b5b4 a3b1 c5c4 d2d3 c4c3 a2a3 a6b5 a3a4 b5a6 a1a2 b6e3 a2a1 d5d4 a1a2 e5e4 a2a1 e4d3 b1c3 d3c2 d1c2 d4d3 c2d2 b4c3 d2e3 e6e3 a1c1 e3e2 e1d1 c3c2 c1c2 d3c2 d1e2 c2c1 e2d3 c6d5 b3b4 a5b4 d3d4 d5c6 d4e5 c1c5 e5e6 c6a4 e6d6 a6b6 d6e6 c5d4 e6d6 b6a6 d6e6 a6b6 e6d6 b6a6 d6e6 a6b6 e6d6 b6a6 d6e6 b4b3 e6d6 a6b6 d6e6 b3b2 e6d6 b6a6 d6e6 b2b1 e6d6 a6b6 d6e6 b1b3 e6d6 b6a6 d6c6 a6b6 c6b6 a4c6 b6a6 b3a3 a6b6 c6b5 b6b5 a3a4 b5a6 a4a6
