v1_0,v1_1,v1_2,v1_3,v1_4,v2_0,v2_1,v2_2,v2_3,v2_4,v3_0,v3_1,v3_2,v3_3,v3_4,v3_5,v3_6,v3_7,v3_8,v3_9,v3_10,v3_11,v3_12,v3_13,v3_14,v3_15,v3_16,v3_17,v3_18,v3_19,v3_20,v3_21,v3_22,v3_23,v3_24,v3_25,v3_26,v3_27,v3_28,v3_29,a1,a2,label,weight
0.0,0.0,0.0,0.0,0.0,30.0,6.0,7.0,5.0,8.0,4.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-5.0,-3.0,-2.0,-4.0,0.0,0.0,1.0,0.15617376188860607
0.0,0.0,0.0,0.0,0.0,30.0,6.0,7.0,5.0,8.0,6.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-4.0,-2.0,-3.0,-5.0,-6.0,-1.0,0.0,0.0,0.2208630521496931
0.0,0.0,0.0,0.0,0.0,29.0,6.0,7.0,5.0,8.0,4.0,2.0,3.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-6.0,-5.0,-3.0,-2.0,-4.0,0.0,0.0,1.0,0.2705008904002297
0.0,0.0,0.0,0.0,0.0,29.0,6.0,7.0,5.0,8.0,6.0,5.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,0.0,0.0,0.0,0.31234752377721214
0.0,0.0,0.0,0.0,0.0,29.0,3.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-5.0,-1.0,-1.0,-1.0,-6.0,0.0,-3.0,-2.0,-4.0,0.0,0.0,1.0,0.3492151478847891
0.0,0.0,0.0,0.0,-1.0,29.0,6.0,7.0,5.0,0.0,6.0,0.0,3.0,2.0,4.0,1.0,-2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,0.0,0.0,0.0,0.38254602783800296
0.0,-1.0,0.0,0.0,1.0,29.0,0.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,-6.0,0.0,-3.0,0.0,-4.0,0.0,0.0,1.0,0.4131969352706687
0.0,1.0,0.0,0.0,-1.0,29.0,7.0,7.0,5.0,0.0,6.0,0.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,-1.0,0.0,0.0,0.4417261042993862
-1.0,-1.0,0.0,0.0,1.0,23.0,0.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,-6.0,0.0,-3.0,0.0,-4.0,-1.0,0.0,1.0,0.4685212856658182
0.0,1.0,0.0,0.0,-1.0,23.0,7.0,7.0,5.0,0.0,6.0,0.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,-2.0,0.0,0.0,0.4938647983247948
